,Car id,Condition,Brand,Model,Version,Published date,Kilometers,Price,Year,City,Color,Cylindrical,Box type,Fuel,Accessories,Seller comment,Warranty,Average consumption,Door,Armored,Wheel drive,Colors,Bodywork,Airbag number,Steering system,Gearbox,Engine Displacement,Assembly,Fuel type,Technical details,Url,Motor,Transmisión,Drive train
0,2040486,usado,KIA,Cerato Forte,1.6 NB LX A.A. Aut,2022-05-22,67000,42000000,2011,Bogotá D.C.,Negro,1600,Automática,Gasolina,"['Aire acondicionado', ' Bloqueo central', ' Exploradoras', ' Techo Corredizo', ' Rines de lujo', ' Vidrios eléctricos', ' Tapicería en cuero', ' Bluetooth', ' Airbags 2']",ASESORA COMERCIAL JENNY CAICEDO903,,,,N,,,,,N,,1600,,Gasolina,[],https://www.carroya.com/vehiculo/usado/kia/cerato-forte/1.6-nb-lx-a.a.-aut/2011/bogota/2040486,,,
1,2044764,usado,Nissan,Kicks,Exclusive Aut,2022-05-22,29577,93500000,2020,Bogotá D.C.,Azul,1600,Automática,Gasolina,"['Aire acondicionado', ' Bloqueo central', ' Exploradoras', ' Rines de lujo', ' Vidrios eléctricos', ' Bluetooth', ' Espejos eléctricos', ' Velocidad Crucero', ' Airbags 4']",FINANCIACION 100% GARANTIA 1 AÑO O 20 MIL KM ASESORA COMERCIAL JENNY CAICEDO 3184320903,,,5,N,,, SUV,,N,,1600,,Gasolina,"[{'autopart': 'Motor', 'specifications': [{'name': 'Potencia (H.P)', 'value': '118'}, {'name': 'Capacidad del tanque de combustible (Galones)', 'value': '10.8'}, {'name': 'Cantidad y configuración de cilindros', 'value': '4 en línea'}, {'name': 'Orientación', 'value': 'null'}, {'name': 'Configuración árbol de levas', 'value': 'DOHC'}, {'name': 'Relación de compresión', 'value': '10.8'}, {'name': 'Cantidad de válvulas por cilindro', 'value': '4.00'}, {'name': 'Torque (Kg/Rev. x min)', 'value': '15.1/4.000'}, {'name': 'Tipo de Alimentación Combustible', 'value': 'null'}, {'name': 'Motor', 'value': 'HR16DE delantero a gasolina.'}, {'name': 'Cilindrada (c.c³)', 'value': '1600.00'}]}, {'autopart': 'Transmisión', 'specifications': [{'name': 'Tipo de transmisión', 'value': 'CVT'}, {'name': 'Cantidad de cambios adelante', 'value': '0.00'}]}, {'autopart': 'Suspensiones', 'specifications': [{'name': 'Suspensión delantera', 'value': 'Independiente con barra estabilizadora'}, {'name': 'Suspensión trasera', 'value': 'Barra de torsión con barra estabilizadora'}]}, {'autopart': 'Dirección', 'specifications': [{'name': 'Sistema de dirección', 'value': 'Asistida Eléctricamente'}]}, {'autopart': 'Sistema de Frenos', 'specifications': [{'name': 'Tipo de frenos delanteros', 'value': ' Discos'}, {'name': 'Tipo de frenos traseros', 'value': 'Tambor'}]}, {'autopart': 'Ruedas', 'specifications': [{'name': 'Dimensiones Llanta Delantera', 'value': '205 / 60'}, {'name': 'Dimensiones Rin', 'value': '16.00'}]}, {'autopart': 'Dimensiones', 'specifications': [{'name': 'Volúmen del baúl (lts)', 'value': '432.00'}, {'name': 'Peso (kgrs.)', 'value': '1523.00'}, {'name': 'Pasajeros', 'value': '5.00'}, {'name': 'Largo/ancho/alto (mts.)', 'value': '4,29 / 1,96 / 1,59'}]}, {'autopart': 'Adicional', 'specifications': [{'name': 'Número puertas', 'value': '5'}, {'name': 'Tipo Dirección', 'value': 'Asistencia Eléctrica'}, {'name': 'Tipo de caja', 'value': 'Secuencial'}, {'name': 'Carrocería', 'value': ' SUV'}, {'name': 'Tipo de combustible', 'value': 'Gasolina'}]}]",https://www.carroya.com/vehiculo/usado/nissan/kicks/exclusive-aut/2020/bogota/2044764,"[{'name': 'Potencia (H.P)', 'value': '118'}, {'name': 'Capacidad del tanque de combustible (Galones)', 'value': '10.8'}, {'name': 'Cantidad y configuración de cilindros', 'value': '4 en línea'}, {'name': 'Orientación', 'value': 'null'}, {'name': 'Configuración árbol de levas', 'value': 'DOHC'}, {'name': 'Relación de compresión', 'value': '10.8'}, {'name': 'Cantidad de válvulas por cilindro', 'value': '4.00'}, {'name': 'Torque (Kg/Rev. x min)', 'value': '15.1/4.000'}, {'name': 'Tipo de Alimentación Combustible', 'value': 'null'}, {'name': 'Motor', 'value': 'HR16DE delantero a gasolina.'}, {'name': 'Cilindrada (c.c³)', 'value': '1600.00'}]","[{'name': 'Tipo de transmisión', 'value': 'CVT'}, {'name': 'Cantidad de cambios adelante', 'value': '0.00'}]",
2,2047952,usado,Fiat,Uno,Way 1.4 Mecanico,2022-05-22,37938,41000000,2018,Bogotá D.C.,Blanco,1400,Mecánica,Gasolina,"['Aire acondicionado', ' Bloqueo central', ' Exploradoras', ' Radio', ' Rines de lujo', ' Vidrios eléctricos', ' Bluetooth', ' Espejos eléctricos', ' Airbags 2']",FINANCIACION 100% GARANTIA 1 AÑO O 20 MIL KM ASESORA COMERCIAL JENNY CAICEDO 3184320903,,,,N,,,,,N,,1400,,Gasolina,[],https://www.carroya.com/vehiculo/usado/fiat/uno/way-1.4-mecanico/2018/bogota/2047952,,,
3,2042169,usado,Volkswagen,Gol,TRENDLINE 1.6 5P,2022-05-22,62320,48000000,2018,Bogotá D.C.,Negro,1600,Mecánica,Gasolina,"['Aire acondicionado', ' Bloqueo central', ' Exploradoras', ' Rines de lujo', ' Vidrios eléctricos', ' Tapicería en cuero', ' Bluetooth', ' Espejos eléctricos', ' Airbags 2']",GOL VERSION HIGHILINE FINANCIACION 100% GARANTIA 1 AÑO O 20 MIL KM ASESORA COMERCIAL JENNY CAICEDO903,,,,N,,,,,N,,1600,,Gasolina,[],https://www.carroya.com/vehiculo/usado/volkswagen/gol/trendline-1.6-5p/2018/bogota/2042169,,,
4,2049137,usado,Renault,Stepway,Trek Intens Aut,2022-05-22,49055,55500000,2018,Bogotá D.C.,Plateado,1600,Automática,Gasolina,"['Aire acondicionado', ' Alarma', ' Bloqueo central', ' Exploradoras', ' Radio', ' Rines de lujo', ' Vidrios eléctricos', ' Tapicería en cuero', ' Sensor de reversa', ' Bluetooth', ' Espejos eléctricos', ' Airbags 2', ' Control Descenso']",FINANCIACION 100% GARANTIA 1 AÑO O 20 MIL KM ASESORA COMERCIAL JENNY CAICEDO 3184320903,,,null,N,,,null,,N,,1600,,Gasolina,"[{'autopart': 'Motor', 'specifications': [{'name': 'Orientación', 'value': 'null'}, {'name': 'Tipo de Alimentación Combustible', 'value': 'null'}, {'name': 'Configuración árbol de levas', 'value': 'null'}]}, {'autopart': 'Transmisión', 'specifications': [{'name': 'Tipo de transmisión', 'value': 'null'}]}, {'autopart': 'Dirección', 'specifications': [{'name': 'Sistema de dirección', 'value': 'null'}]}, {'autopart': 'Sistema de Frenos', 'specifications': [{'name': 'Tipo de frenos delanteros', 'value': 'null'}, {'name': 'Tipo de frenos traseros', 'value': 'null'}]}, {'autopart': 'Adicional', 'specifications': [{'name': 'Número puertas', 'value': 'null'}, {'name': 'Tipo Dirección', 'value': 'null'}, {'name': 'Tipo de combustible', 'value': 'null'}, {'name': 'Tipo de caja', 'value': 'null'}, {'name': 'Carrocería', 'value': 'null'}]}]",https://www.carroya.com/vehiculo/usado/renault/stepway/trek-intens-aut/2018/bogota/2049137,"[{'name': 'Orientación', 'value': 'null'}, {'name': 'Tipo de Alimentación Combustible', 'value': 'null'}, {'name': 'Configuración árbol de levas', 'value': 'null'}]","[{'name': 'Tipo de transmisión', 'value': 'null'}]",
5,2045081,usado,Toyota,Prado,VX Automatica EGO,2022-05-22,45150,191500000,2013,Bogotá D.C.,Blanco,3600,Automática,Gasolina,"['Aire acondicionado', ' Alarma', ' Bloqueo central', ' Exploradoras', ' Techo Corredizo', ' Rines de lujo', ' Vidrios eléctricos', ' Cámara de reversa', ' Bluetooth', ' Sillas eléctricas', ' Espejos eléctricos', ' Velocidad Crucero', ' Airbags 4']",FINANCIACION 100% GARANTIA DE 1 AÑO O 20 MIL KM ASESORA COMERCIAL JENNY CAICEDO 3184320903 ,,,,N,,,,,N,,3600,,Gasolina,[],https://www.carroya.com/vehiculo/usado/toyota/prado/vx-automatica-ego/2013/bogota/2045081,,,
6,2045663,usado,Ford,Ecosport,2.0 4X2 AUT TITANIUM,2022-05-22,18588,84500000,2020,Bogotá D.C.,Blanco,2000,Automática,Gasolina,"['Aire acondicionado', ' Alarma', ' Bloqueo central', ' Exploradoras', ' Techo Corredizo', ' Rines de lujo', ' Sensor de reversa', ' Cámara de reversa', ' Bluetooth', ' Espejos eléctricos', ' Airbags 4']",FINANCIACION 100% GARANTIA 1 AÑO O 20 MIL KM ASESORA COMERCIAL JENNY CAICEDO 3184320903,,,,N,,,,,N,,2000,,Gasolina,[],https://www.carroya.com/vehiculo/usado/ford/ecosport/2.0-4x2-aut-titanium/2020/bogota/2045663,,,4x2
7,2047396,usado,BMW,Serie 1,116I F20,2022-05-22,90000,53990000,2012,Bogotá D.C.,Blanco,1600,Automática,Gasolina,"['Alarma', ' Antena eléctrica', ' Bloqueo central', ' Limpiabrisas trasero', ' Radio', ' Rines de lujo', ' Vidrios eléctricos', ' Bluetooth', ' Espejos eléctricos', ' Aire Acondicionado Bizona', ' Airbags 6']","Dos modos de manejo, Espejos eléctricos, Mantenimientos al día, Tracción trasera ",,,,N,,,,,N,,1600,,Gasolina,[],https://www.carroya.com/vehiculo/usado/bmw/serie-1/116i-f20/2012/bogota/2047396,,,
8,2046774,usado,KIA,Cerato Forte,HB 1.6 Aut,2022-05-21,94000,42990000,2011,Bogotá D.C.,Plateado,1600,Automática,Gasolina,"['Alarma', ' Antena eléctrica', ' Bloqueo central', ' Exploradoras', ' Radio', ' Vidrios eléctricos', ' Espejos eléctricos', ' Aire Acondicionado Bizona', ' Airbags 2']","RIN 17, Aire acondicionado, Dirección hidráulica, Frenos ABS, Espejos eléctricos, Exploradoras, vidrios eléctricos, Mantenimientos al día ",,,,N,,,,,N,,1600,,Gasolina,[],https://www.carroya.com/vehiculo/usado/kia/cerato-forte/hb-1.6-aut/2011/bogota/2046774,,,
9,2046519,usado,Volkswagen,Virtus,Comfortline 1.6 Sedan Automatico,2022-05-21,42000,63990000,2020,Bogotá D.C.,Blanco,1600,Automática,Gasolina,"['Antena eléctrica', ' Bloqueo central', ' Exploradoras', ' Radio', ' Rines de lujo', ' Vidrios eléctricos', ' Sensor de reversa', ' Bluetooth', ' Espejos eléctricos', ' Aire Acondicionado Bizona', ' Airbags 8', ' Apple Car Play']","Aire acondicionado, Audio Car Play, 8 sensores de parqueo, Rin 15, Frenos ABS, Exploradoras, Vidrios eléctricos 4, Mantenimientos al día",,,4,N,,,Sedán,,N,,1600,,Gasolina,"[{'autopart': 'Motor', 'specifications': [{'name': 'Cilindrada (c.c³)', 'value': '1598.00'}, {'name': 'Orientación', 'value': 'null'}, {'name': 'Configuración árbol de levas', 'value': 'null'}, {'name': 'Cantidad de válvulas por cilindro', 'value': '4.00'}, {'name': 'Torque (Kg/Rev. x min)', 'value': '155/4000'}, {'name': 'Tipo de Alimentación Combustible', 'value': 'null'}, {'name': 'Potencia (H.P)', 'value': '110/5750rpm'}]}, {'autopart': 'Transmisión', 'specifications': [{'name': 'Tipo de transmisión', 'value': 'Automática'}, {'name': 'Cantidad de cambios adelante', 'value': '6.00'}]}, {'autopart': 'Suspensiones', 'specifications': [{'name': 'Suspensión trasera', 'value': 'Semi Independiente'}, {'name': 'Suspensión delantera', 'value': 'Independiente McPherson'}]}, {'autopart': 'Dirección', 'specifications': [{'name': 'Sistema de dirección', 'value': 'Asistida Eléctricamente'}]}, {'autopart': 'Sistema de Frenos', 'specifications': [{'name': 'Tipo de frenos delanteros', 'value': 'Discos ventilados'}, {'name': 'Tipo de frenos traseros', 'value': 'Tambor'}]}, {'autopart': 'Ruedas', 'specifications': [{'name': 'Dimensiones Llanta Delantera', 'value': '195/65'}, {'name': 'Dimensiones Rin', 'value': '15.00'}]}, {'autopart': 'Dimensiones', 'specifications': [{'name': 'Volúmen del baúl (lts)', 'value': '521.00'}, {'name': 'Largo/ancho/alto (mts.)', 'value': '4.4/1.7/1.4'}]}, {'autopart': 'Adicional', 'specifications': [{'name': 'Tipo de combustible', 'value': 'Gasolina'}, {'name': 'Número puertas', 'value': '4'}, {'name': 'Tipo de caja', 'value': 'Automatica'}, {'name': 'Carrocería', 'value': 'Sedán'}, {'name': 'Tipo Dirección', 'value': 'Asistencia Eléctrica'}]}]",https://www.carroya.com/vehiculo/usado/volkswagen/virtus/comfortline-1.6-sedan-automatico/2020/bogota/2046519,"[{'name': 'Cilindrada (c.c³)', 'value': '1598.00'}, {'name': 'Orientación', 'value': 'null'}, {'name': 'Configuración árbol de levas', 'value': 'null'}, {'name': 'Cantidad de válvulas por cilindro', 'value': '4.00'}, {'name': 'Torque (Kg/Rev. x min)', 'value': '155/4000'}, {'name': 'Tipo de Alimentación Combustible', 'value': 'null'}, {'name': 'Potencia (H.P)', 'value': '110/5750rpm'}]","[{'name': 'Tipo de transmisión', 'value': 'Automática'}, {'name': 'Cantidad de cambios adelante', 'value': '6.00'}]",
