,URL
0,https://www.carroya.com/detalle/usado/renault/sandero/2020/bogota/2049122
1,https://www.carroya.com/detalle/usado/mazda/3-all-new/2011/bogota/2048587
2,https://www.carroya.com/detalle/usado/renault/logan/2013/bogota/2049104
3,https://www.carroya.com/detalle/usado/renault/logan/2017/bogota/2035042
4,https://www.carroya.com/detalle/usado/renault/kwid/2022/bogota/2047670
5,https://www.carroya.com/detalle/usado/ford/ecosport/2020/bogota/2045663
6,https://www.carroya.com/detalle/usado/kia/cerato-forte/2011/bogota/2040486
7,https://www.carroya.com/detalle/usado/renault/stepway/2018/bogota/2049137
8,https://www.carroya.com/detalle/usado/toyota/prado/2013/bogota/2045081
9,https://www.carroya.com/detalle/usado/subaru/evoltis/2021/bogota/2048578
10,https://www.carroya.com/detalle/usado/fiat/uno/2018/bogota/2047952
11,https://www.carroya.com/detalle/usado/renault/logan/2019/bogota/2032465
12,https://www.carroya.com/detalle/usado/kia/picanto/2017/bogota/2037997
13,https://www.carroya.com/detalle/usado/kia/rio/2018/bogota/2048581
14,https://www.carroya.com/detalle/usado/chevrolet/onix/2019/bogota/2048555
15,https://www.carroya.com/detalle/usado/ford/ecosport/2008/bogota/2044817
16,https://www.carroya.com/detalle/usado/nissan/kicks/2021/bogota/2049222
17,https://www.carroya.com/detalle/usado/nissan/kicks/2020/bogota/2044764
18,https://www.carroya.com/detalle/usado/volkswagen/gol/2018/bogota/2042169
19,https://www.carroya.com/detalle/usado/audi/q5/2012/bogota/2046529
20,https://www.carroya.com/detalle/usado/volkswagen/virtus/2020/bogota/2046519
21,https://www.carroya.com/detalle/usado/renault/stepway/2021/bogota/2044782
22,https://www.carroya.com/detalle/usado/chevrolet/equinox/2019/bogota/2042495
23,https://www.carroya.com/detalle/usado/ford/edge/2016/cali/2049243
24,https://www.carroya.com/detalle/usado/mazda/cx-5/2013/bogota/2047383
25,https://www.carroya.com/detalle/usado/chevrolet/cruze/2015/bogota/2046398
26,https://www.carroya.com/detalle/usado/mazda/cx-5/2021/bogota/2037585
27,https://www.carroya.com/detalle/usado/chevrolet/nhr/2017/bogota/2045166
28,https://www.carroya.com/detalle/usado/kia/cerato-forte/2011/bogota/2046774
29,https://www.carroya.com/detalle/usado/kia/picanto/2019/bogota/2049238
30,https://www.carroya.com/detalle/usado/ford/ecosport/2020/bogota/2045864
31,https://www.carroya.com/detalle/usado/mercedes-benz/clase-c/2018/bogota/2047394
32,https://www.carroya.com/detalle/usado/volkswagen/gol/2019/bogota/2037581
33,https://www.carroya.com/detalle/usado/bmw/serie-1/2012/bogota/2047396
34,https://www.carroya.com/detalle/usado/volkswagen/virtus/2020/bogota/2046524
35,https://www.carroya.com/detalle/usado/ford/fiesta/2015/bogota/2047317
36,https://www.carroya.com/detalle/usado/kia/sportage/2022/bogota/2044100
37,https://www.carroya.com/detalle/usado/nissan/tiida/2014/bogota/2047276
38,https://www.carroya.com/detalle/usado/nissan/sentra/2010/bogota/2049176
39,https://www.carroya.com/detalle/usado/volkswagen/escarabajo/1964/bogota/2049174
40,https://www.carroya.com/detalle/usado/great-wall/wingle-5/2014/bogota/2047676
41,https://www.carroya.com/detalle/usado/chevrolet/sail/2014/bogota/2049159
42,https://www.carroya.com/detalle/usado/chevrolet/tracker/2019/bogota/2047321
43,https://www.carroya.com/detalle/usado/chevrolet/spark/2019/bogota/2047319
44,https://www.carroya.com/detalle/usado/mazda/626/2002/bogota/2047314
45,https://www.carroya.com/detalle/usado/volkswagen/tiguan/2015/bogota/2043532
46,https://www.carroya.com/detalle/usado/kia/picanto/2021/bogota/2044225
47,https://www.carroya.com/detalle/usado/honda/wrv/2012/bogota/2047117
48,https://www.carroya.com/detalle/usado/chevrolet/spark/2018/bogota/2047315
49,https://www.carroya.com/detalle/usado/chevrolet/onix/2017/bogota/2043530
50,https://www.carroya.com/detalle/usado/mazda/allegro/2003/bogota/2049158
51,https://www.carroya.com/detalle/usado/volvo/xc-60/2018/bogota/2035076
