,Car id,Brand info,Price,City,Description,make,model,variant,year,mileage,condition,fuel,color,vehicletransmission,doors,Drive train
0,1115169027,Vw Golf Gti Turbo 2.0 Mod 2020,$ 124.000.000,"{'COUNTRY_id': '1000001', 'COUNTRY_name': 'Colombia', 'ADMIN_LEVEL_1_id': '2007012', 'ADMIN_LEVEL_1_name': 'Caldas', 'ADMIN_LEVEL_3_id': '4069632', 'ADMIN_LEVEL_3_name': 'Manizales', 'SUBLOCALITY_LEVEL_1_id': '5301662', 'SUBLOCALITY_LEVEL_1_name': 'Cervantes'}","• 23.000 kms
• Aire Acondicionado Dual 
• Dirección Hidráulica
• Cojineria En Cuero 
• Vidrios Eléctricos 
• Espejos Eléctricos 
• Rines de Lujo 
• Exploradoras 
• Airbags
• Frenos ABS 
• Controles de Radio en Timón 
• Velocidad Crucero 
• Sunroof
• Asistencia de Arranque en Pendiente 
• Sensores de Proximidad 
• Sensores de Lluvia 
• Sensores de Luces 
• Levas en Timón 
• Cámara de Reversa",VOLKSWAGEN,GOLF,GTI Performance AT 2.0L T 230HP CT TC RA17,2020,23.000 km,Usado,Gasolina,Gris,Automática Secuencial,5,
1,1115397100,Nissan Tiida Premium 2013,$ 34.500.000,"{'COUNTRY_id': '1000001', 'COUNTRY_name': 'Colombia', 'ADMIN_LEVEL_1_id': '2007001', 'ADMIN_LEVEL_1_name': 'Valle del Cauca', 'ADMIN_LEVEL_3_id': '4069078', 'ADMIN_LEVEL_3_name': 'Cali', 'SUBLOCALITY_LEVEL_1_id': '5303945', 'SUBLOCALITY_LEVEL_1_name': 'Urbanización Militar'}","GRAN APROBATÓN CRÉDITO DE VEHÍCULO
Fácil Financiación para empleados o independientes NO REPORTADOS NO, inicial desde $3.000.000 y credito hasta en 48 meses",NISSAN,TIIDA HATCHBACK,Premium MT 1.8L 2AB ABS CT 4X2,2013,99.000 km,Usado,Gasolina,Blanco,Mecánica,5,4x2
2,1115379688,CHEVROLET CAPTIVA SPORT,$ 33.990.000,"{'COUNTRY_id': '1000001', 'COUNTRY_name': 'Colombia', 'ADMIN_LEVEL_1_id': '2007000', 'ADMIN_LEVEL_1_name': 'Bogotá', 'ADMIN_LEVEL_3_id': '4300120', 'ADMIN_LEVEL_3_name': 'Usaquén', 'SUBLOCALITY_LEVEL_1_id': '5307239', 'SUBLOCALITY_LEVEL_1_name': 'Santa Bárbara Occidental'}","Financiamos hasta el 90% del valor del vehículo hasta 60 meses, o directamente el 20%, letras mensuales. sujeto aprobación. Recibimos su vehículo usado en parte de pago. Garantía 100% de documentación. Recibimos todas las tarjetas débito o crédito. Aplican restricciones",CHEVROLET,CAPTIVA,Sport AT 3.0L CT 5P MEX 4X2,2011,128.000 km,Usado,Gasolina,Gris,Automática,5,4x2
3,1115427608,MITSUBISHI L200 Sportero 2016,$ 96.000.000,"{'COUNTRY_id': '1000001', 'COUNTRY_name': 'Colombia', 'ADMIN_LEVEL_1_id': '2007001', 'ADMIN_LEVEL_1_name': 'Valle del Cauca', 'ADMIN_LEVEL_3_id': '4069078', 'ADMIN_LEVEL_3_name': 'Cali', 'SUBLOCALITY_LEVEL_1_id': '5303883', 'SUBLOCALITY_LEVEL_1_name': 'San Fernando Nuevo'}","Motor 2.5 , caja mecánica, 4x4 
Diesel  
Version High Power  , Full Equipo 
Excelente Estado",MITSUBISHI,L200 SPORTERO,FL High Power AT 2.5L TD 176HP 2AB ABS 4X4,2016,68.000 km,Usado,Diesel,Blanco,Mecánica,4,4x4
4,1115653760,Se vende Spark Gt,$ 32.000.000,"{'COUNTRY_id': '1000001', 'COUNTRY_name': 'Colombia', 'ADMIN_LEVEL_1_id': '2007002', 'ADMIN_LEVEL_1_name': 'Antioquia', 'ADMIN_LEVEL_3_id': '4069120', 'ADMIN_LEVEL_3_name': 'Medellín', 'SUBLOCALITY_LEVEL_1_id': '5301351', 'SUBLOCALITY_LEVEL_1_name': 'Los Cerros El Vergel'}","Se vende Spark Gt LTZ en muy buen estado segundo dueño con papeles hasta el otro año, listo para traspaso",CHEVROLET,Spark GT,LTZ 1.2L 1AB,2015,105.400 km,Usado,Gasolina,Gris,Mecánica,5,
5,1115653759,Mazda 6 all new modelo 2011,$ 40.000.000,"{'COUNTRY_id': '1000001', 'COUNTRY_name': 'Colombia', 'ADMIN_LEVEL_1_id': '2007019', 'ADMIN_LEVEL_1_name': 'Cauca', 'ADMIN_LEVEL_3_id': '4069894', 'ADMIN_LEVEL_3_name': 'Popayán', 'SUBLOCALITY_LEVEL_1_id': '5308270', 'SUBLOCALITY_LEVEL_1_name': 'La Capitana'}","Vehículo en excelente estado, cojineria en cuero, eléctrica, sunroof, triptonico con levas en el timón, luces y plumillas automáticas, mantenimientos al día, soat y tecno hasta noviembre, en excelente estado general.",MAZDA,6,FL L5NA1 TP 2.5L 4X2,2011,77.600 km,Usado,Gasolina,Negro,Automática Secuencial,5,4x2
6,1115653739,Patineta Volkswagen cabezote y trailer,$ 250.000.000,"{'COUNTRY_id': '1000001', 'COUNTRY_name': 'Colombia', 'ADMIN_LEVEL_1_id': '2007003', 'ADMIN_LEVEL_1_name': 'Atlántico', 'ADMIN_LEVEL_3_id': '4069245', 'ADMIN_LEVEL_3_name': 'Barranquilla', 'SUBLOCALITY_LEVEL_1_id': '5301567', 'SUBLOCALITY_LEVEL_1_name': 'Los Nogales'}","Patineta Volkswagen modelo 2008, documentos al día, llantas al 90% cabezote y trailer",VOLKSWAGEN,Otros Modelos,Otros,2008,100.000 km,Usado,Diesel,Gris,,,
7,1115653726,Tracker 2015 NEGOCIABLE,$ 52.000.000,"{'COUNTRY_id': '1000001', 'COUNTRY_name': 'Colombia', 'ADMIN_LEVEL_1_id': '2007006', 'ADMIN_LEVEL_1_name': 'Santander', 'ADMIN_LEVEL_3_id': '4069353', 'ADMIN_LEVEL_3_name': 'Bucaramanga', 'SUBLOCALITY_LEVEL_1_id': '5302619', 'SUBLOCALITY_LEVEL_1_name': 'Comuneros'}","Hermosa Chevrolet Tracker modelo 2015 
En excelentes condiciones 
Motor de 1.8 Litros 
140 HP/ 175 Nm de Torque 
Airbags delanteros 
Cámara para retroceder con sensores de proximidad 
Seis parlantes 
Vidrios eléctricos 
Seguro anti-niños en puertas trasera 
Llantas GoodYear a mitad de vida 
Suspensiones nuevas",CHEVROLET,TRACKER,FL LS 1.8L 6AB,2015,86.000 km,Usado,Gasolina,Rojo,Mecánica,4,
8,1115653714,Nissan frontier LE xyear la mas full,$ 157.000.000,"{'COUNTRY_id': '1000001', 'COUNTRY_name': 'Colombia', 'ADMIN_LEVEL_1_id': '2007001', 'ADMIN_LEVEL_1_name': 'Valle del Cauca', 'ADMIN_LEVEL_3_id': '4069083', 'ADMIN_LEVEL_3_name': 'Tuluá'}",Nissan frontier LE xyear la más full como nueva,NISSAN,FRONTIER,NP 300 MT 2.5L TD AA 2AB ABS DC 4X4,2020,27.000 km,Usado,Diesel,Negro,Automática,4,4x4
9,1115653710,Se vende auto clásico Skoda Octavia modelo 1961.,$ 17.000.000,"{'COUNTRY_id': '1000001', 'COUNTRY_name': 'Colombia', 'ADMIN_LEVEL_1_id': '2007001', 'ADMIN_LEVEL_1_name': 'Valle del Cauca', 'ADMIN_LEVEL_3_id': '4069078', 'ADMIN_LEVEL_3_name': 'Cali', 'SUBLOCALITY_LEVEL_1_id': '5303877', 'SUBLOCALITY_LEVEL_1_name': 'Salomia'}","Skoda modelo 1961, tiene motor de nissan 1300cc. Dirección hidráulica, frenos de disco, llantas nuevas. Rines de lujo. Papeles al día. Precio negociable",SKODA,OCTAVIA,Otros,1961,60.000 km,Usado,Gasolina,Negro,Mecánica,2,
