,Car id,Brand,Condition,Version,Kilometers,Year,City,Color,Cylindrical,Box type,Fuel,Accessories,Seller comment,Main features,Technical details
0,2049122,Renault Sandero,usado,Life Plus Polar,35116,2020,Bogotá D.C.,Gris,1600,Mecánica,Gasolina,"['Aire acondicionado', ' Alarma', ' Bloqueo central', ' Exploradoras', ' Radio CD', ' Rines de lujo', ' Vidrios eléctricos', ' Bluetooth', ' Airbags 2']",FINANCIACION 100% GARANTIA 1 AÑO O 20 MIL KM ASESORA COMERCIAL JENNY  CAICEDO 3184320903,"[{'name': 'Warranty', 'description': ''}, {'name': 'Average consumption', 'description': ''}, {'name': 'Door', 'description': '5'}, {'name': 'Armored', 'description': 'N'}, {'name': 'Wheel drive', 'description': ''}, {'name': 'Colors', 'description': ''}, {'name': 'Bodywork', 'description': ' Hatchback'}, {'name': 'Airbag number', 'description': ''}, {'name': 'Steering system', 'description': 'N'}, {'name': 'Gearbox', 'description': ''}, {'name': 'Engine Displacement', 'description': '1600'}, {'name': 'Assembly', 'description': ''}, {'name': 'Fuel type', 'description': 'Gasolina'}]","[{'autopart': 'Motor', 'specifications': [{'name': 'Capacidad del tanque de combustible (Galones)', 'value': '13,22\r\n'}, {'name': 'Torque (Kg/Rev. x min)', 'value': '13,25/3.000\r\n'}, {'name': 'Motor', 'value': '4 cilindros en línea 8 válvulas\r\n'}, {'name': 'Cilindrada (c.c³)', 'value': '1598.00'}, {'name': 'Potencia (H.P)', 'value': '90/5.500\r\n'}, {'name': 'Velocidad Máxima', 'value': '175'}, {'name': 'Orientación', 'value': 'Transversal'}, {'name': 'Tipo de Alimentación Combustible', 'value': 'null'}, {'name': 'Cantidad y configuración de cilindros', 'value': '4 cilindros en línea 8 válvulas\r\n'}, {'name': 'Configuración árbol de levas', 'value': 'SOHC'}, {'name': 'Relación de compresión', 'value': '9,7:1\r\n'}, {'name': 'Cantidad de válvulas por cilindro', 'value': '8.00'}]}, {'autopart': 'Transmisión', 'specifications': [{'name': 'Tipo de transmisión', 'value': 'Mecánica'}, {'name': 'Cantidad de cambios adelante', 'value': '5.00'}]}, {'autopart': 'Suspensiones', 'specifications': [{'name': 'Suspensión delantera', 'value': 'Independiente McPherson\r\n'}, {'name': 'Amortiguadores', 'value': 'Hidráulicos\r\n'}, {'name': 'Suspensión trasera', 'value': 'Semi-Independiente\r\n'}]}, {'autopart': 'Dirección', 'specifications': [{'name': 'Sistema de dirección', 'value': 'null'}]}, {'autopart': 'Sistema de Frenos', 'specifications': [{'name': 'Tipo de frenos delanteros', 'value': ' Discos'}, {'name': 'Tipo de frenos traseros', 'value': 'Campanas'}, {'name': 'Tipo de frenos', 'value': 'Hidráulicos\r\n'}]}, {'autopart': 'Ruedas', 'specifications': [{'name': 'Dimensiones Llanta Delantera', 'value': '185/65'}, {'name': 'Dimensiones Rin', 'value': '15.00'}]}, {'autopart': 'Dimensiones', 'specifications': [{'name': 'Peso (kgrs.)', 'value': '1122.00'}, {'name': 'Largo/ancho/alto (mts.)', 'value': '4,020/1,750/1,528\r\n'}, {'name': 'Capacidad de carga', 'value': 'ND'}, {'name': 'Volúmen del baúl (lts)', 'value': '320.00'}, {'name': 'Pasajeros', 'value': '5.00'}]}, {'autopart': 'Adicional', 'specifications': [{'name': 'Tipo de caja', 'value': 'Mecanica'}, {'name': 'Carrocería', 'value': ' Hatchback'}, {'name': 'Número puertas', 'value': '5'}, {'name': 'Tipo de combustible', 'value': 'Gasolina'}, {'name': 'Tipo Dirección', 'value': 'null'}]}]"
1,2048587,Mazda 3 All New,usado,2.0 Sedan Automatico,135000,2011,Bogotá D.C.,Plateado,2000,Automática,Gasolina,"['Bloqueo central', ' Exploradoras', ' Radio', ' Techo Corredizo', ' Vidrios eléctricos', ' Bluetooth', ' Aire Acondicionado Bizona']",N/A,"[{'name': 'Warranty', 'description': ''}, {'name': 'Average consumption', 'description': ''}, {'name': 'Door', 'description': ''}, {'name': 'Armored', 'description': 'N'}, {'name': 'Wheel drive', 'description': 'Delantera'}, {'name': 'Colors', 'description': ''}, {'name': 'Bodywork', 'description': ''}, {'name': 'Airbag number', 'description': ''}, {'name': 'Steering system', 'description': 'N'}, {'name': 'Gearbox', 'description': ''}, {'name': 'Engine Displacement', 'description': '2000'}, {'name': 'Assembly', 'description': ''}, {'name': 'Fuel type', 'description': 'Gasolina'}]","[{'autopart': 'Motor', 'specifications': [{'name': 'Cantidad y configuración de cilindros', 'value': '4 en linea'}, {'name': 'Configuración árbol de levas', 'value': 'DOHC'}, {'name': 'Cantidad de válvulas por cilindro', 'value': '16.00'}, {'name': 'Tipo de Alimentación Combustible', 'value': 'Gasolina'}, {'name': 'Potencia (H.P)', 'value': '144.9/6500'}, {'name': 'Relación Peso / Potencia', 'value': '9.0'}, {'name': 'Relación de compresión', 'value': '10.0:1'}, {'name': 'Torque (Kg/Rev. x min)', 'value': '18.7/4000'}, {'name': 'Orientación', 'value': 'Transversal'}, {'name': 'Tipo de Alimentación', 'value': 'Multipunto'}, {'name': 'Cilindrada (c.c³)', 'value': '1999.00'}, {'name': 'Capacidad del tanque de combustible (Galones)', 'value': '14.5'}, {'name': 'Tracción', 'value': 'Delantera'}]}, {'autopart': 'Transmisión', 'specifications': [{'name': 'Tipo de transmisión', 'value': 'Automática'}, {'name': 'Cantidad de cambios adelante', 'value': '4.00'}]}, {'autopart': 'Suspensiones', 'specifications': [{'name': 'Suspensión delantera', 'value': 'Independiente tipo Mac Pherson, brazo sensillo de montaje alto, resortes helicoidales y barra estabilizadora.'}, {'name': 'Amortiguadores', 'value': 'Hidráulicos'}, {'name': 'Suspensión trasera', 'value': 'Independiente multibrazos tipo E, resortes helicoidales de baja altura y barra estabilizadora.'}]}, {'autopart': 'Dirección', 'specifications': [{'name': 'Sistema de dirección', 'value': 'Electro hidráulica'}]}, {'autopart': 'Sistema de Frenos', 'specifications': [{'name': 'Tipo de frenos traseros', 'value': 'Discos sólidos'}, {'name': 'Tipo de frenos delanteros', 'value': 'Discos ventilados'}, {'name': 'Control de frenos ABS', 'value': 'S'}, {'name': 'Sistema EBD', 'value': 'S'}]}, {'autopart': 'Ruedas', 'specifications': [{'name': 'Dimensiones Rin', 'value': '16 pulgadas'}, {'name': 'Llantas (dimensiones)', 'value': '205/55'}, {'name': 'Material rines', 'value': 'Aluminio'}]}, {'autopart': 'Dimensiones', 'specifications': [{'name': 'Diámetro giro', 'value': '5.2'}, {'name': 'Volúmen del baúl (lts)', 'value': '419'}, {'name': 'Peso (kgrs.)', 'value': '1286'}, {'name': 'Largo/ancho/alto (mts.)', 'value': '4.5/1.7/1.4'}]}, {'autopart': 'Unidad Eléctrica', 'specifications': [{'name': 'Batería (amperaje)', 'value': '60 amperios'}]}, {'autopart': 'Accesorios - Apariencia', 'specifications': [{'name': 'Tapizados en cuero', 'value': 'S'}, {'name': 'Espejos exteriores color cabina', 'value': 'S'}, {'name': 'Rines de aluminio', 'value': 'S'}, {'name': 'Parachoques color carrocería', 'value': 'S'}, {'name': 'Aire acondicionado', 'value': 'S'}, {'name': 'Tercer stop', 'value': 'S'}, {'name': 'Manijas exteriores puertas color cabina', 'value': 'S'}]}, {'autopart': 'Accesorios - Comodidad', 'specifications': [{'name': 'Volante graduable en altura y/o profundidad', 'value': 'S'}, {'name': 'Computador de Abordo', 'value': 'S'}, {'name': 'Radio CD', 'value': 'S'}, {'name': 'Apertura remota tapa combustible', 'value': 'S'}, {'name': 'Espejos exteriores eléctricos', 'value': 'S'}, {'name': 'Seguros eléctricos', 'value': 'S'}, {'name': 'Sistema de inmovilización', 'value': 'S'}, {'name': 'Apertura remota baúl', 'value': 'S'}, {'name': 'Brazo central delantero con portavasos', 'value': 'S'}, {'name': 'Desempañador eléctrico vidrio trasero', 'value': 'S'}, {'name': 'Elevavidrios eléctricos', 'value': 'S'}, {'name': 'Desempañador espejos exteriores', 'value': 'S'}]}, {'autopart': 'Accesorios - Seguridad', 'specifications': [{'name': 'Alarma antirrobo', 'value': 'S'}, {'name': 'Alarma llave en el interruptor', 'value': 'S'}, {'name': 'Alarma de luces encendidas', 'value': 'S'}, {'name': 'Bloqueo automático de velocidad', 'value': 'S'}, {'name': 'Llave codificada', 'value': 'S'}, {'name': 'Bloqueo central', 'value': 'S'}, {'name': 'Sistema electrónico de distribución del frenado', 'value': 'S'}, {'name': 'Barras en las puertas de protección lateral', 'value': 'S'}, {'name': 'Sensor de lluvia - parabrisas', 'value': 'S'}, {'name': 'ABS', 'value': 'S'}, {'name': 'Seguro para niños', 'value': 'S'}, {'name': 'Cinturones', 'value': 'S'}, {'name': 'Apoya cabezas', 'value': 'S'}, {'name': 'Barras laterales', 'value': 'S'}]}]"
2,2049104,Renault Logan,usado,1.4 Familier,106820,2013,Bogotá D.C.,Gris,1400,Mecánica,Gasolina,"['Bloqueo central', ' Bluetooth']",FINANCIACION 100% GARANTIA 1 AÑO O 20 MIL KM VEHICULO SIN AIRE ACONDICIONADO ASESORA COMERCIAL JENNY CAICEDO 3184320903,"[{'name': 'Warranty', 'description': ''}, {'name': 'Average consumption', 'description': ''}, {'name': 'Door', 'description': ''}, {'name': 'Armored', 'description': 'N'}, {'name': 'Wheel drive', 'description': ''}, {'name': 'Colors', 'description': ''}, {'name': 'Bodywork', 'description': ''}, {'name': 'Airbag number', 'description': ''}, {'name': 'Steering system', 'description': 'N'}, {'name': 'Gearbox', 'description': ''}, {'name': 'Engine Displacement', 'description': '1400'}, {'name': 'Assembly', 'description': ''}, {'name': 'Fuel type', 'description': 'Gasolina'}]","[{'autopart': 'Motor', 'specifications': [{'name': 'Aceleración 0-100 Kms. (segs.)', 'value': '13'}, {'name': 'Torque (Kg/Rev. x min)', 'value': '11,6/3000'}, {'name': 'Potencia (H.P)', 'value': '75/5500'}, {'name': 'Orientación', 'value': 'Transversal'}, {'name': 'Tipo de Alimentación', 'value': 'Multipunto'}, {'name': 'Cantidad y configuración de cilindros', 'value': '4 en línea'}, {'name': 'Cantidad de válvulas por cilindro', 'value': '2.00'}, {'name': 'Capacidad del tanque de combustible (Galones)', 'value': '13'}, {'name': 'Velocidad Máxima', 'value': '162.00'}, {'name': 'Relación de compresión', 'value': '9.5:1'}, {'name': 'Cilindrada (c.c³)', 'value': '1390.00'}, {'name': 'Tipo de Alimentación Combustible', 'value': 'Gasolina'}]}, {'autopart': 'Transmisión', 'specifications': [{'name': 'Cantidad de cambios adelante', 'value': '5.00'}, {'name': 'Tipo de transmisión', 'value': 'Mecánica'}]}, {'autopart': 'Suspensiones', 'specifications': [{'name': 'Amortiguadores', 'value': 'Hidráulicos'}, {'name': 'Suspensión delantera', 'value': 'Pseudo Mc-Pherson con brazo triangulado, muelles helicoidales y ruedas independientes y telescópicos más barra estabilizadora.'}, {'name': 'Suspensión trasera', 'value': 'Eje en H con perfil deformable y desarrollo programado - muelles helicoidales más barra estabilizadora.'}]}, {'autopart': 'Sistema de Frenos', 'specifications': [{'name': 'Sistema EBD', 'value': 'N'}, {'name': 'Tipo de frenos traseros', 'value': 'Campanas'}, {'name': 'Control de frenos ABS', 'value': 'N'}, {'name': 'Tipo de frenos delanteros', 'value': 'Discos ventilados'}]}, {'autopart': 'Ruedas', 'specifications': [{'name': 'Dimensiones Rin', 'value': 'R15'}, {'name': 'Llantas (dimensiones)', 'value': '185/65'}]}, {'autopart': 'Dimensiones', 'specifications': [{'name': 'Largo/ancho/alto (mts.)', 'value': '4.29/1.47/1.52'}, {'name': 'Volúmen del baúl (lts)', 'value': '510'}, {'name': 'Diámetro giro', 'value': '10.5'}, {'name': 'Peso (kgrs.)', 'value': '975'}]}, {'autopart': 'Accesorios - Seguridad', 'specifications': [{'name': 'Cinturones', 'value': 'S'}, {'name': 'Apoya cabezas', 'value': 'S'}]}]"
3,2035042,Renault Logan,usado,Intens,42188,2017,Bogotá D.C.,Gris,1600,Mecánica,Gasolina,"['Air Bag piloto', ' Aire acondicionado', ' Bloqueo central', ' Exploradoras', ' Radio', ' Radio MP3', ' Rines de lujo', ' Vidrios eléctricos', ' Bluetooth', ' Espejos eléctricos', ' Aire Acondicionado Bizona', ' Airbags 2']","Tranquilidad y confianza es comprar tu vehículo con MADIAUTOS
Contamos con más de treinta años siendo expertos en la compra y venta de vehículos usados, por ello tenemos muchas razones y beneficios para que compres hoy tu vehículo con nosotros
Podemos recibir tu vehículo usado como parte de pago así aún posea deuda 
Nuestros vehículos cuentan con garantía en estructura y procedencia. Adicional los entregamos con completo alistamiento mecánico.
Tenemos diferentes alternativas y planes de crédito, con la opción de financiar hasta el cien por ciento del valor del vehículo
En nuestros concesionarios tenemos un amplio y variado inventario en todas las gamas, marcas, referencias y para todos los presupuestos
El precio anunciado en esta publicación está sujeto a cambios sin previo aviso","[{'name': 'Warranty', 'description': ''}, {'name': 'Average consumption', 'description': ''}, {'name': 'Door', 'description': ''}, {'name': 'Armored', 'description': 'N'}, {'name': 'Wheel drive', 'description': ''}, {'name': 'Colors', 'description': ''}, {'name': 'Bodywork', 'description': ''}, {'name': 'Airbag number', 'description': ''}, {'name': 'Steering system', 'description': 'N'}, {'name': 'Gearbox', 'description': ''}, {'name': 'Engine Displacement', 'description': '1600'}, {'name': 'Assembly', 'description': ''}, {'name': 'Fuel type', 'description': 'Gasolina'}]",[]
4,2047670,Renault Kwid,usado,Outsider,3000,2022,Bogotá D.C.,Dorado,1000,Mecánica,Gasolina,"['Aire acondicionado', ' Bloqueo central', ' Exploradoras', ' Radio CD', ' Rines de lujo', ' Vidrios eléctricos', ' Airbags 2']",CONTACTANOS 3204727499 NAZLY JOHANNA SANCHEZ ,"[{'name': 'Warranty', 'description': ''}, {'name': 'Average consumption', 'description': ''}, {'name': 'Door', 'description': '5'}, {'name': 'Armored', 'description': 'N'}, {'name': 'Wheel drive', 'description': ''}, {'name': 'Colors', 'description': ''}, {'name': 'Bodywork', 'description': ' Hatchback'}, {'name': 'Airbag number', 'description': ''}, {'name': 'Steering system', 'description': 'N'}, {'name': 'Gearbox', 'description': ''}, {'name': 'Engine Displacement', 'description': '1000'}, {'name': 'Assembly', 'description': ''}, {'name': 'Fuel type', 'description': 'Gasolina'}]","[{'autopart': 'Motor', 'specifications': [{'name': 'Orientación', 'value': 'null'}, {'name': 'Velocidad Máxima', 'value': 'N/D'}, {'name': 'Tipo de Alimentación Combustible', 'value': 'Inyección Multipunto'}, {'name': 'Cantidad y configuración de cilindros', 'value': '3 en línea'}, {'name': 'Configuración árbol de levas', 'value': 'null'}, {'name': 'Torque (Kg/Rev. x min)', 'value': '93/4250 N·m/rpm'}, {'name': 'Cantidad de válvulas por cilindro', 'value': '12.00'}, {'name': 'Potencia (H.P)', 'value': '67/5500 hp/rpm'}, {'name': 'Cilindrada (c.c³)', 'value': '990.00'}]}, {'autopart': 'Transmisión', 'specifications': [{'name': 'Tipo de transmisión', 'value': 'Mecánica'}]}, {'autopart': 'Suspensiones', 'specifications': [{'name': 'Suspensión trasera', 'value': 'eje rígido con resortes helicoidales'}, {'name': 'Suspensión delantera', 'value': 'independiente tipo McPherson con resortes helicoidales'}]}, {'autopart': 'Dirección', 'specifications': [{'name': 'Sistema de dirección', 'value': 'Asistida'}]}, {'autopart': 'Sistema de Frenos', 'specifications': [{'name': 'Tipo de frenos', 'value': 'Frenos ABS'}, {'name': 'Tipo de frenos delanteros', 'value': 'Discos ventilados'}, {'name': 'Tipo de frenos traseros', 'value': 'Tambor'}]}, {'autopart': 'Dimensiones', 'specifications': [{'name': 'Largo/ancho/alto (mts.)', 'value': 'Largo\t3680 mm\r\nAncho sin espejos\t1586 mm\r\nAncho con espejos\t1752 mm\r\nAlto\t1474 mm\r\n'}, {'name': 'Volúmen del baúl (lts)', 'value': '0.00'}, {'name': 'Peso (kgrs.)', 'value': '760.00'}, {'name': 'Capacidad de carga', 'value': '\t403 kg'}]}, {'autopart': 'Adicional', 'specifications': [{'name': 'Número puertas', 'value': '5'}, {'name': 'Tipo de caja', 'value': 'Mecanica'}, {'name': 'Carrocería', 'value': ' Hatchback'}, {'name': 'Tipo de combustible', 'value': 'Gasolina'}, {'name': 'Tipo Dirección', 'value': 'null'}]}]"
5,2045663,Ford Ecosport,usado,2.0 4X2 AUT TITANIUM,18588,2020,Bogotá D.C.,Blanco,2000,Automática,Gasolina,"['Aire acondicionado', ' Alarma', ' Bloqueo central', ' Exploradoras', ' Techo Corredizo', ' Rines de lujo', ' Sensor de reversa', ' Cámara de reversa', ' Bluetooth', ' Espejos eléctricos', ' Airbags 4']",FINANCIACION 100% GARANTIA 1 AÑO O 20 MIL KM ASESORA COMERCIAL JENNY CAICEDO 3184320903,"[{'name': 'Warranty', 'description': ''}, {'name': 'Average consumption', 'description': ''}, {'name': 'Door', 'description': ''}, {'name': 'Armored', 'description': 'N'}, {'name': 'Wheel drive', 'description': ''}, {'name': 'Colors', 'description': ''}, {'name': 'Bodywork', 'description': ''}, {'name': 'Airbag number', 'description': ''}, {'name': 'Steering system', 'description': 'N'}, {'name': 'Gearbox', 'description': ''}, {'name': 'Engine Displacement', 'description': '2000'}, {'name': 'Assembly', 'description': ''}, {'name': 'Fuel type', 'description': 'Gasolina'}]",[]
6,2040486,KIA Cerato Forte,usado,1.6 NB LX A.A. Aut,67000,2011,Bogotá D.C.,Negro,1600,Automática,Gasolina,"['Aire acondicionado', ' Bloqueo central', ' Exploradoras', ' Techo Corredizo', ' Rines de lujo', ' Vidrios eléctricos', ' Tapicería en cuero', ' Bluetooth', ' Airbags 2']",ASESORA COMERCIAL JENNY CAICEDO903,"[{'name': 'Warranty', 'description': ''}, {'name': 'Average consumption', 'description': ''}, {'name': 'Door', 'description': ''}, {'name': 'Armored', 'description': 'N'}, {'name': 'Wheel drive', 'description': ''}, {'name': 'Colors', 'description': ''}, {'name': 'Bodywork', 'description': ''}, {'name': 'Airbag number', 'description': ''}, {'name': 'Steering system', 'description': 'N'}, {'name': 'Gearbox', 'description': ''}, {'name': 'Engine Displacement', 'description': '1600'}, {'name': 'Assembly', 'description': ''}, {'name': 'Fuel type', 'description': 'Gasolina'}]",[]
7,2049137,Renault Stepway,usado,Trek Intens Aut,49055,2018,Bogotá D.C.,Plateado,1600,Automática,Gasolina,"['Aire acondicionado', ' Alarma', ' Bloqueo central', ' Exploradoras', ' Radio', ' Rines de lujo', ' Vidrios eléctricos', ' Tapicería en cuero', ' Sensor de reversa', ' Bluetooth', ' Espejos eléctricos', ' Airbags 2', ' Control Descenso']",FINANCIACION 100% GARANTIA 1 AÑO O 20 MIL KM ASESORA COMERCIAL JENNY CAICEDO 3184320903,"[{'name': 'Warranty', 'description': ''}, {'name': 'Average consumption', 'description': ''}, {'name': 'Door', 'description': 'null'}, {'name': 'Armored', 'description': 'N'}, {'name': 'Wheel drive', 'description': ''}, {'name': 'Colors', 'description': ''}, {'name': 'Bodywork', 'description': 'null'}, {'name': 'Airbag number', 'description': ''}, {'name': 'Steering system', 'description': 'N'}, {'name': 'Gearbox', 'description': ''}, {'name': 'Engine Displacement', 'description': '1600'}, {'name': 'Assembly', 'description': ''}, {'name': 'Fuel type', 'description': 'Gasolina'}]","[{'autopart': 'Motor', 'specifications': [{'name': 'Orientación', 'value': 'null'}, {'name': 'Tipo de Alimentación Combustible', 'value': 'null'}, {'name': 'Configuración árbol de levas', 'value': 'null'}]}, {'autopart': 'Transmisión', 'specifications': [{'name': 'Tipo de transmisión', 'value': 'null'}]}, {'autopart': 'Dirección', 'specifications': [{'name': 'Sistema de dirección', 'value': 'null'}]}, {'autopart': 'Sistema de Frenos', 'specifications': [{'name': 'Tipo de frenos delanteros', 'value': 'null'}, {'name': 'Tipo de frenos traseros', 'value': 'null'}]}, {'autopart': 'Adicional', 'specifications': [{'name': 'Número puertas', 'value': 'null'}, {'name': 'Tipo Dirección', 'value': 'null'}, {'name': 'Tipo de combustible', 'value': 'null'}, {'name': 'Tipo de caja', 'value': 'null'}, {'name': 'Carrocería', 'value': 'null'}]}]"
8,2045081,Toyota Prado,usado,VX Automatica EGO,45150,2013,Bogotá D.C.,Blanco,3600,Automática,Gasolina,"['Aire acondicionado', ' Alarma', ' Bloqueo central', ' Exploradoras', ' Techo Corredizo', ' Rines de lujo', ' Vidrios eléctricos', ' Cámara de reversa', ' Bluetooth', ' Sillas eléctricas', ' Espejos eléctricos', ' Velocidad Crucero', ' Airbags 4']",FINANCIACION 100% GARANTIA DE 1 AÑO O 20 MIL KM ASESORA COMERCIAL JENNY CAICEDO 3184320903 ,"[{'name': 'Warranty', 'description': ''}, {'name': 'Average consumption', 'description': ''}, {'name': 'Door', 'description': ''}, {'name': 'Armored', 'description': 'N'}, {'name': 'Wheel drive', 'description': ''}, {'name': 'Colors', 'description': ''}, {'name': 'Bodywork', 'description': ''}, {'name': 'Airbag number', 'description': ''}, {'name': 'Steering system', 'description': 'N'}, {'name': 'Gearbox', 'description': ''}, {'name': 'Engine Displacement', 'description': '3600'}, {'name': 'Assembly', 'description': ''}, {'name': 'Fuel type', 'description': 'Gasolina'}]",[]
9,2048578,Subaru Evoltis,usado,Limited 2.4 Turbo Suv Automatico 4x4,16000,2021,Bogotá D.C.,Azul,2400,Automática,Gasolina,"['Alarma', ' Antena eléctrica', ' Bloqueo central', ' Exploradoras', ' Radio', ' Radio MP3', ' Techo Corredizo', ' Vidrios eléctricos', ' Tapicería en cuero', ' Sensor de reversa', ' Cámara de reversa', ' Bluetooth', ' GPS', ' Sillas eléctricas', ' Espejos eléctricos', ' Aire Acondicionado Bizona', ' Calefacción en Sillas', ' Sensores Delanteros']",N/A,"[{'name': 'Warranty', 'description': ''}, {'name': 'Average consumption', 'description': ''}, {'name': 'Door', 'description': '5'}, {'name': 'Armored', 'description': 'N'}, {'name': 'Wheel drive', 'description': ''}, {'name': 'Colors', 'description': ''}, {'name': 'Bodywork', 'description': ' SUV'}, {'name': 'Airbag number', 'description': ''}, {'name': 'Steering system', 'description': 'N'}, {'name': 'Gearbox', 'description': ''}, {'name': 'Engine Displacement', 'description': '2400'}, {'name': 'Assembly', 'description': ''}, {'name': 'Fuel type', 'description': 'Gasolina'}]","[{'autopart': 'Motor', 'specifications': [{'name': 'Orientación', 'value': 'null'}, {'name': 'Tipo de Alimentación Combustible', 'value': 'Inyección Directa'}, {'name': 'Motor', 'value': 'Subaru Boxer DOHC de 4 cilindros Turboalimentado'}, {'name': 'Configuración árbol de levas', 'value': 'DOHC'}, {'name': 'Relación de compresión', 'value': '10,6:1'}, {'name': 'Cantidad de válvulas por cilindro', 'value': '4.00'}, {'name': 'Capacidad del tanque de combustible (Galones)', 'value': '16'}, {'name': 'Cilindrada (c.c³)', 'value': '2387.00'}, {'name': 'Potencia (H.P)', 'value': '263 HP / 5600 rpm'}]}, {'autopart': 'Transmisión', 'specifications': [{'name': 'Cantidad de cambios adelante', 'value': '8.00'}, {'name': 'Tipo de transmisión', 'value': 'Automática'}]}, {'autopart': 'Suspensiones', 'specifications': [{'name': 'Suspensión trasera', 'value': 'Independiente de doble brazo oscilante'}, {'name': 'Suspensión delantera', 'value': 'Independiente tipo Mac Pherson'}]}, {'autopart': 'Dirección', 'specifications': [{'name': 'Sistema de dirección', 'value': 'Asistida Eléctricamente'}]}, {'autopart': 'Sistema de Frenos', 'specifications': [{'name': 'Tipo de frenos delanteros', 'value': 'Discos ventilados'}, {'name': 'Tipo de frenos traseros', 'value': 'Discos ventilados'}]}, {'autopart': 'Ruedas', 'specifications': [{'name': 'Dimensiones Llanta Delantera', 'value': '245/50 R20'}, {'name': 'Dimensiones Rin', 'value': '20.00'}]}, {'autopart': 'Dimensiones', 'specifications': [{'name': 'Pasajeros', 'value': '8.00'}, {'name': 'Largo/ancho/alto (mts.)', 'value': '4.9 / 1.9 / 1.8'}]}, {'autopart': 'Accesorio', 'specifications': [{'name': 'Apple Car Play', 'value': 'S'}, {'name': 'Airbags 7', 'value': 'S'}, {'name': 'Bluetooth', 'value': 'S'}, {'name': 'Sensor de reversa', 'value': 'S'}, {'name': 'Radio MP3', 'value': 'S'}, {'name': 'Air Bag piloto', 'value': 'S'}, {'name': 'Luces Led', 'value': 'S'}]}, {'autopart': 'Adicional', 'specifications': [{'name': 'Tipo Dirección', 'value': 'null'}, {'name': 'Número puertas', 'value': '5'}, {'name': 'Tipo de caja', 'value': 'Automatica'}, {'name': 'Tipo de combustible', 'value': 'Gasolina'}, {'name': 'Carrocería', 'value': ' SUV'}]}]"
